,Comparison,Metric,Segment,value
98,GTvsDL,Hausdorff,mandible,17.833450435667913
99,GTvsDL,LineRatio,mandible,0.5613967823819864
100,GTvsDL,MSD,mandible,0.4193055975300484
101,GTvsDL,VolumeRatio,mandible,0.08537057695219831
102,GTvsDLB,DICE,mandible,0.9184903291692853
103,GTvsDLB,EPL,mandible,4040.2233072916665
104,GTvsDLB,Hausdorff,mandible,15.018161715601941
105,GTvsDLB,LineRatio,mandible,0.5299704887717431
106,GTvsDLB,MSD,mandible,0.223056847197
107,GTvsDLB,VolumeRatio,mandible,0.07783735053581517
108,GTvsATLAS,DICE,opticNerve_merged,
109,GTvsATLAS,EPL,opticNerve_merged,
110,GTvsATLAS,Hausdorff,opticNerve_merged,
111,GTvsATLAS,LineRatio,opticNerve_merged,
112,GTvsATLAS,MSD,opticNerve_merged,
113,GTvsATLAS,VolumeRatio,opticNerve_merged,
114,GTvsDL,DICE,opticNerve_merged,
115,GTvsDL,EPL,opticNerve_merged,
116,GTvsDL,Hausdorff,opticNerve_merged,
117,GTvsDL,LineRatio,opticNerve_merged,
118,GTvsDL,MSD,opticNerve_merged,
119,GTvsDL,VolumeRatio,opticNerve_merged,
120,GTvsDLB,DICE,opticNerve_merged,
121,GTvsDLB,EPL,opticNerve_merged,
122,GTvsDLB,Hausdorff,opticNerve_merged,
123,GTvsDLB,LineRatio,opticNerve_merged,
124,GTvsDLB,MSD,opticNerve_merged,
125,GTvsDLB,VolumeRatio,opticNerve_merged,
126,GTvsATLAS,DICE,parotid_merged,0.7281615216425693
127,GTvsATLAS,EPL,parotid_merged,4191.9166796875
128,GTvsATLAS,Hausdorff,parotid_merged,16.60864304298626
129,GTvsATLAS,LineRatio,parotid_merged,0.8865564218335077
130,GTvsATLAS,MSD,parotid_merged,0.9361465630578196
131,GTvsATLAS,VolumeRatio,parotid_merged,0.12519530597048026
132,GTvsDL,DICE,parotid_merged,0.8359873361755163
133,GTvsDL,EPL,parotid_merged,3703.064934717466
134,GTvsDL,Hausdorff,parotid_merged,16.244092113617086
135,GTvsDL,LineRatio,parotid_merged,0.7863376165611318
136,GTvsDL,MSD,parotid_merged,0.4609094291334694
137,GTvsDL,VolumeRatio,parotid_merged,0.1397506396803272
138,GTvsDLB,DICE,parotid_merged,0.872728102022726
139,GTvsDLB,EPL,parotid_merged,3379.2237532106165
140,GTvsDLB,Hausdorff,parotid_merged,12.698134220975247
141,GTvsDLB,LineRatio,parotid_merged,0.7169990080927131
142,GTvsDLB,MSD,parotid_merged,0.31179699408190764
143,GTvsDLB,VolumeRatio,parotid_merged,0.11481965635309692
144,GTvsATLAS,DICE,pcm_low,0.5329386848238381
145,GTvsATLAS,EPL,pcm_low,917.0442708333334
146,GTvsATLAS,Hausdorff,pcm_low,15.804429203976007
147,GTvsATLAS,LineRatio,pcm_low,0.8246473116262961
148,GTvsATLAS,MSD,pcm_low,2.517800076745196
149,GTvsATLAS,VolumeRatio,pcm_low,0.4088367315717213
150,GTvsDL,DICE,pcm_low,0.5327180858300569
151,GTvsDL,EPL,pcm_low,925.2759650735294
152,GTvsDL,Hausdorff,pcm_low,14.313112004352707
153,GTvsDL,LineRatio,pcm_low,0.8104937430806594
154,GTvsDL,MSD,pcm_low,2.283000288351491
155,GTvsDL,VolumeRatio,pcm_low,0.47501313548376656
156,GTvsDLB,DICE,pcm_low,0.8262659650826608
157,GTvsDLB,EPL,pcm_low,675.0675080128206
158,GTvsDLB,Hausdorff,pcm_low,13.355977924856228
159,GTvsDLB,LineRatio,pcm_low,0.5683564652142119
160,GTvsDLB,MSD,pcm_low,0.6672273566232967
161,GTvsDLB,VolumeRatio,pcm_low,0.16238553432874692
162,GTvsATLAS,DICE,pcm_mid,0.620141224436437
163,GTvsATLAS,EPL,pcm_mid,1246.3961838942307
164,GTvsATLAS,Hausdorff,pcm_mid,11.565606878920303
165,GTvsATLAS,LineRatio,pcm_mid,0.7833123529429978
166,GTvsATLAS,MSD,pcm_mid,1.28833302943814
167,GTvsATLAS,VolumeRatio,pcm_mid,0.41074571971538976
168,GTvsDL,DICE,pcm_mid,0.5892938469952674
169,GTvsDL,EPL,pcm_mid,1288.7398681640625
170,GTvsDL,Hausdorff,pcm_mid,14.0282032534402
171,GTvsDL,LineRatio,pcm_mid,0.794446303033056
172,GTvsDL,MSD,pcm_mid,1.8082748541410458
